date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:38	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:37%20GMT	https://legalfirm.webflow.io/robots.txt		(from )
13:28:38	58943/58943	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Nov%202023%2009:28:38%20GMT	https://legalfirm.webflow.io/	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/index.html	(from )
13:28:41	115582/115582	---M-Z	200	added ('OK')	text/css	etag:%2297b6406c5de6fb15997a68692e05b5f9%22	https://assets.website-files.com/6446569e5406b315b7c26afb/css/legalfirm.webflow.39cc34e0b.min.css	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/css/legalfirm.webflow.39cc34e0b.min.css	(from https://legalfirm.webflow.io/)
13:28:42	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://legalfirm.webflow.io/)
13:28:43	1752/1752	---M--	200	added ('OK')	image/png	etag:%2229e76bb46648f41c58384d42155f6db0%22	https://assets.website-files.com/6446569e5406b315b7c26afb/64465776c008d91bb4b421ab_scale32x32.png	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/64465776c008d91bb4b421ab_scale32x32.png	(from https://legalfirm.webflow.io/)
13:28:44	9941/9941	---M--	200	added ('OK')	image/png	etag:%22a0a8526b7baf75a90a2434bdc85f84e4%22	https://assets.website-files.com/6446569e5406b315b7c26afb/6446577f338a388d1ab5ebc7_scale256x256.png	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/6446577f338a388d1ab5ebc7_scale256x256.png	(from https://legalfirm.webflow.io/)
13:28:45	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:45%20GMT	https://legalfirm.webflow.io/about-us	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/about-us	(from https://legalfirm.webflow.io/)
13:28:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:46%20GMT	https://legalfirm.webflow.io/practice-areas	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/practice-areas	(from https://legalfirm.webflow.io/)
13:28:47	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:47%20GMT	https://legalfirm.webflow.io/contact	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/contact	(from https://legalfirm.webflow.io/)
13:28:48	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:48%20GMT	https://legalfirm.webflow.io/category/packages	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/category/packages	(from https://legalfirm.webflow.io/)
13:28:48	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:48%20GMT	https://legalfirm.webflow.io/checkout	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/checkout	(from https://legalfirm.webflow.io/)
13:28:49	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:49%20GMT	https://legalfirm.webflow.io/lawyers	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/lawyers	(from https://legalfirm.webflow.io/)
13:28:50	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:50%20GMT	https://legalfirm.webflow.io/lawyers/mary-johnson	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/lawyers/mary-johnson	(from https://legalfirm.webflow.io/)
13:28:51	52375/52375	---M--	200	added ('OK')	image/jpeg	etag:%220e8aef780dadbce60127c7893e3c14eb%22	https://assets.website-files.com/6446569e5406b362dcc26b17/6448c4c08d7281dbfc391c89_woman-arms-crossing-in-a-suit-full.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b362dcc26b17/6448c4c08d7281dbfc391c89_woman-arms-crossing-in-a-suit-full.jpg	(from https://legalfirm.webflow.io/)
13:28:52	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:51%20GMT	https://legalfirm.webflow.io/lawyers/steve-edwards	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/lawyers/steve-edwards	(from https://legalfirm.webflow.io/)
13:28:53	65946/65946	---M--	200	added ('OK')	image/jpeg	etag:%22125466310f8f34bde389c2753a8ecf29%22	https://assets.website-files.com/6446569e5406b362dcc26b17/6448c748b3d4497d2e21370f_man-in-a-coat-serious-looking-full.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b362dcc26b17/6448c748b3d4497d2e21370f_man-in-a-coat-serious-looking-full.jpg	(from https://legalfirm.webflow.io/)
13:28:53	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:53%20GMT	https://legalfirm.webflow.io/lawyers/john-smith	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/lawyers/john-smith	(from https://legalfirm.webflow.io/)
13:28:55	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:55%20GMT	https://legalfirm.webflow.io/case-results	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/case-results	(from https://legalfirm.webflow.io/)
13:28:56	947359/947359	---M--	200	added ('OK')	image/jpeg	etag:%22abd2323b0367faa52441e4e1c2c1da74%22	https://assets.website-files.com/6446569e5406b362dcc26b17/6448c575e4a11c5bf5dce8f0_man-standing-in-a-coat-smiling-holding-both-hands-full.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b362dcc26b17/6448c575e4a11c5bf5dce8f0_man-standing-in-a-coat-smiling-holding-both-hands-full.jpg	(from https://legalfirm.webflow.io/)
13:28:58	64259/64259	---M--	200	added ('OK')	image/jpeg	etag:%2265bde0c38f1264ff1447a70b4aa345e0%22	https://assets.website-files.com/6446569e5406b315b7c26afb/6466ff70a425fbd16661139f_man%27s%20grey%20and%20black%20shirt2.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/6466ff70a425fbd16661139f_man's%20grey%20and%20black%20shirt2.jpg	(from https://legalfirm.webflow.io/)
13:28:58	15812/15812	---M--	200	added ('OK')	image/jpeg	etag:%22d201b05bb7a52aee3478690ca4362569%22	https://assets.website-files.com/6446569e5406b315b7c26afb/6466ff70f8bd115c5ea0e42e_woman-in-blue-and-white-floral-button-up-shirt.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/6466ff70f8bd115c5ea0e42e_woman-in-blue-and-white-floral-button-up-shirt.jpg	(from https://legalfirm.webflow.io/)
13:28:59	28145/28145	---M--	200	added ('OK')	image/jpeg	etag:%22504db2e9b4e9892370dcc00f204fee09%22	https://assets.website-files.com/6446569e5406b315b7c26afb/6466ff706529c3884b47c755_man%20wearing%20white%20V%20neck%20shirt2.jpg	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/assets.website-files.com/6446569e5406b315b7c26afb/6466ff706529c3884b47c755_man%20wearing%20white%20V%20neck%20shirt2.jpg	(from https://legalfirm.webflow.io/)
13:28:59	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:28:59%20GMT	https://legalfirm.webflow.io/blog	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/blog	(from https://legalfirm.webflow.io/)
13:29:00	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Sat,%2004%20Nov%202023%2009:29:00%20GMT	https://legalfirm.webflow.io/post/estate-planning-for-small-business-owners	C:/My%20Web%20Sites/https___legalfirm.webflow.io_/legalfirm.webflow.io/post/estate-planning-for-small-business-owners	(from https://legalfirm.webflow.io/)
