date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:12:33	41038/41038	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2010:12:32%20GMT	https://legalfirm.webflow.io/contact	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/legalfirm.webflow.io/contact.html	(from )
14:12:34	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2007%20Nov%202023%2010:12:33%20GMT	https://legalfirm.webflow.io/robots.txt		(from )
14:12:36	115582/115582	---M-Z	200	added ('OK')	text/css	etag:%2297b6406c5de6fb15997a68692e05b5f9%22	https://assets.website-files.com/6446569e5406b315b7c26afb/css/legalfirm.webflow.39cc34e0b.min.css	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/assets.website-files.com/6446569e5406b315b7c26afb/css/legalfirm.webflow.39cc34e0b.min.css	(from https://legalfirm.webflow.io/contact)
14:12:36	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://legalfirm.webflow.io/contact)
14:12:38	1752/1752	---M--	200	added ('OK')	image/png	etag:%2229e76bb46648f41c58384d42155f6db0%22	https://assets.website-files.com/6446569e5406b315b7c26afb/64465776c008d91bb4b421ab_scale32x32.png	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/assets.website-files.com/6446569e5406b315b7c26afb/64465776c008d91bb4b421ab_scale32x32.png	(from https://legalfirm.webflow.io/contact)
14:12:38	9941/9941	---M--	200	added ('OK')	image/png	etag:%22a0a8526b7baf75a90a2434bdc85f84e4%22	https://assets.website-files.com/6446569e5406b315b7c26afb/6446577f338a388d1ab5ebc7_scale256x256.png	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/assets.website-files.com/6446569e5406b315b7c26afb/6446577f338a388d1ab5ebc7_scale256x256.png	(from https://legalfirm.webflow.io/contact)
14:12:39	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2007%20Nov%202023%2010:12:38%20GMT	https://legalfirm.webflow.io/about-us	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/legalfirm.webflow.io/about-us	(from https://legalfirm.webflow.io/contact)
14:12:39	58943/58943	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Nov%202023%2010:12:38%20GMT	https://legalfirm.webflow.io/	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/legalfirm.webflow.io/index.html	(from https://legalfirm.webflow.io/contact)
14:12:39	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2007%20Nov%202023%2010:12:38%20GMT	https://legalfirm.webflow.io/practice-areas	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/legalfirm.webflow.io/practice-areas	(from https://legalfirm.webflow.io/contact)
14:12:40	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2007%20Nov%202023%2010:12:39%20GMT	https://legalfirm.webflow.io/category/packages	C:/My%20Web%20Sites/https___legalfirm.webflow.io_contact/legalfirm.webflow.io/category/packages	(from https://legalfirm.webflow.io/contact)
